Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
polyaxon/schemas,https://github.com/polyaxon/schemas,FALSE,9/24/2017 15:30,"['polyaxon', 'polyaxon-schemas', 'polyaxonfile', 'deeplearning', 'kubernetes', 'minikube', 'tensorflow']",7,3,13,0,6,Python,1193,6,6,6,0,615,0,0,0
nickyeolk/info_retrieve,https://github.com/nickyeolk/info_retrieve,FALSE,8/9/2019 14:47,[],22,3,5,0,4,Jupyter Notebook,833,1,1,7,0,315,0,0,0
pkchat-focus/FoCus,https://github.com/pkchat-focus/FoCus,FALSE,1/12/2022 3:23,"['nlp', 'deep-learning', 'dialog', 'pytorch', 'chatbots', 'gpt2', 'bart', 'focus', 'conversational-ai', 'conversational-agents']",35,2,5,0,2,Python,640,1,0,1,0,39,0,0,0
polyaxon/sdks,https://github.com/polyaxon/sdks,FALSE,11/17/2017 15:29,"['client', 'api', 'instrumentation', 'tracking', 'kubernetes', 'machine-learning', 'model-management', 'instrumentation-agent', 'golang', 'java', 'typescript', 'go']",12,2,14,0,9,Java,7360,5,4,9,0,661,0,0,0
polyaxon/polyaxon-quick-start,https://github.com/polyaxon/polyaxon-quick-start,FALSE,12/29/2017 13:18,"['polyaxon', 'kubernetes', 'machine-learning', 'deep-learning', 'tensorflow', 'pytorch', 'neural-network', 'reproducible-research']",30,2,12,0,4,Python,83,1,0,2,0,100,0,0,0
wanggrun/triplet,https://github.com/wanggrun/triplet,FALSE,6/21/2021 21:18,[],26,3,4,0,1,Python,188,0,0,1,0,62,0,0,0
shoarora/transformers-trainers,https://github.com/shoarora/transformers-trainers,FALSE,2/1/2020 22:50,[],26,5,2,1,1,Python,1154,3,2,15,1,146,0,0,0
vfdev-5/cifar10-faster,https://github.com/vfdev-5/cifar10-faster,FALSE,2/14/2019 15:15,[],9,3,1,0,1,Python,46,0,0,1,0,6,0,0,0
honnibal/spacy-pretrain-polyaxon,https://github.com/honnibal/spacy-pretrain-polyaxon,FALSE,11/13/2018 0:50,[],64,12,9,0,1,Python,3033,3,0,1,0,89,1,0,0
polyaxon/charts,https://github.com/polyaxon/charts,FALSE,1/17/2018 1:58,"['kubernetes', 'helm', 'helm-charts', 'deep-learning', 'tensorflow', 'pytorch', 'scikit-learn', 'machine-learning', 'polyaxon', 'helm-chart', 'mlops', 'gitops', 'k8s', 'distributed-systems']",33,6,45,0,19,Smarty,1134,2,0,2,0,764,0,0,0
