Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
rgsouthall/vi-suite06,https://github.com/rgsouthall/vi-suite06,FALSE,3/9/2019 18:48,[],30,5,8,0,1,Python,600089,22,1,1,0,190,0,0,0
rdb/obbo,https://github.com/rdb/obbo,FALSE,9/20/2020 13:30,"['panda3d', 'pyweek']",7,4,0,0,5,Python,94041,0,0,2,0,398,0,0,0
rgsouthall/vi-suite07,https://github.com/rgsouthall/vi-suite07,FALSE,9/13/2021 17:50,[],14,3,3,0,1,Python,996430,1,0,1,0,311,0,0,0
ckaestne/seai,https://github.com/ckaestne/seai,FALSE,2/14/2019 18:55,"['machine-learning', 'education', 'course-materials', 'software-engineering', 'carnegie-mellon-university']",278,19,116,0,17,HTML,1012612,0,0,10,0,1023,0,0,753
masoodfaisal/ml-workshop,https://github.com/masoodfaisal/ml-workshop,FALSE,12/2/2020 22:30,[],14,5,17,0,5,Jupyter Notebook,80798,3,1,1,0,582,1,0,0
rgsouthall/vi-suite061,https://github.com/rgsouthall/vi-suite061,FALSE,11/25/2020 13:57,[],8,2,3,0,1,Python,800212,5,1,1,0,221,0,0,0
onepanelio/core-docs,https://github.com/onepanelio/core-docs,FALSE,2/28/2020 20:59,[],5,4,8,7,6,CSS,62459,14,14,23,7,824,0,0,245
