Repo,Link,Archived,Creation Date,Description,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
rtu715/NAS-Bench-360,https://github.com/rtu715/NAS-Bench-360,False,2021-03-09 02:08:05,Introducing diverse tasks for NAS,[],33,4,2,0,5,Python,14739,0,0,2,0,250,0,0,99
mlcommons/tiny_results_v0.7,https://github.com/mlcommons/tiny_results_v0.7,False,2022-04-04 17:13:37,,[],8,4,7,0,6,C,243887,1,1,1,0,28,0,0,0
determined-ai/lunch_and_learn,https://github.com/determined-ai/lunch_and_learn,False,2021-01-20 00:58:58,Determined's Lunch & Learn Series,[],5,7,4,0,2,Jupyter Notebook,8348,1,0,1,0,10,0,0,0
