Repo,Link,Archived,Creation Date,Description,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
lvyiwei1/StylePTB,https://github.com/lvyiwei1/StylePTB,False,2021-03-30 00:16:37,,[],50,3,4,0,2,Python,12152,0,0,1,0,16,0,0,0
rpgoldman/xmls,https://github.com/rpgoldman/xmls,False,2020-02-13 02:24:30,"Simple, lightweight XML library for Common Lisp",[],15,2,3,0,5,Common Lisp,190,2,0,3,2,155,0,0,0
kelvinguu/lang2program,https://github.com/kelvinguu/lang2program,False,2017-02-25 07:15:48,Parse natural language into executable programs,[],63,7,20,0,3,Python,487,2,0,1,0,9,0,0,0
hotpotqa/hotpotqa.github.io,https://github.com/hotpotqa/hotpotqa.github.io,False,2018-08-27 00:01:13,,[],5,5,4,0,3,HTML,13341,0,0,1,0,183,0,0,183
mlufei/depot_tools,https://github.com/mlufei/depot_tools,False,2015-09-28 04:03:09,git clone https://chromium.googlesource.com/chromium/tools/depot_tools.git,[],8,4,12,0,65,Python,12040,0,0,2,0,2822,0,0,0
thunlp/thunlp.github.io,https://github.com/thunlp/thunlp.github.io,False,2018-10-27 07:32:09,,[],10,8,3,0,3,HTML,5631,0,0,1,0,41,0,0,40
microsoft/text-to-sql-schema-expansion-generalization,https://github.com/microsoft/text-to-sql-schema-expansion-generalization,False,2022-05-23 14:52:52,Bridging the Generalization Gap in Text-to-SQL Parsing with Schema Expansion,[],12,6,2,0,4,Python,17568,0,0,1,0,11,0,0,0
arm-hpc/papi,https://github.com/arm-hpc/papi,False,2015-10-24 12:23:01,ARM branch of PAPI from utk,[],9,2,2,0,11,C,28316,0,0,35,152,6300,0,0,0
OhadRubin/SmBop,https://github.com/OhadRubin/SmBop,False,2021-03-23 12:13:23,,[],82,3,33,0,5,Python,81,8,0,3,0,42,0,0,0
graykode/KorQuAD-beginner,https://github.com/graykode/KorQuAD-beginner,False,2019-04-26 11:00:51,Guide KorQuAD upload to leaderboard (EM 68.947 / F1 88.468) model which only use BERT-multilingual(single),"['bert', 'squad']",41,4,11,0,1,Python,8405,0,0,1,0,7,0,0,0
Vertispan/j2clmavenplugin,https://github.com/Vertispan/j2clmavenplugin,False,2019-05-02 11:19:29,Maven plugin to launch new J2CL compilation,[],35,10,20,2,12,Java,739,51,8,16,2,274,1,0,6
ucb-bar/hammer,https://github.com/ucb-bar/hammer,False,2016-07-13 19:26:51,HAMMER: Highly Agile Masks Made Effortlessly from RTL,[],156,28,37,0,19,Python,5314,206,15,56,1,602,18,0,0
