Repo,Link,Archived,Creation Date,Description,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
OmdenaAI/omdena-srilanka-tea-quality,https://github.com/OmdenaAI/omdena-srilanka-tea-quality,False,2021-07-21 17:46:17,Using AI to Improve Quality of Green Tea Leaves in Sri Lanka,[],12,5,4,0,20,Jupyter Notebook,245952,36,36,48,0,330,1,0,0
npogeant/flight-delay,https://github.com/npogeant/flight-delay,False,2022-08-10 23:16:42,"A Machine Learning Pipeline built with MLflow, Prefect, BentoML, Streamlit and Evidently.","['data-science', 'machine-learning', 'mlops', 'pipeline']",7,1,1,0,1,Jupyter Notebook,59643,0,0,1,0,4,0,0,0
cms-tau-pog/TauMLTools,https://github.com/cms-tau-pog/TauMLTools,False,2020-06-29 09:02:56,Tools for Machine Learing for Tau reco&Id,[],9,11,20,0,14,Jupyter Notebook,9619,11,5,5,3,1254,1,0,0
LaurenzBeck/ophthalmology,https://github.com/LaurenzBeck/ophthalmology,False,2021-10-30 08:01:21,Contrastive Learning for Ophthalmology,[],5,1,0,0,1,Jupyter Notebook,369200,0,0,2,0,80,0,0,5
babylonhealth/neuralTPPs,https://github.com/babylonhealth/neuralTPPs,False,2020-07-03 08:38:42,,[],21,5,6,0,2,Shell,3098,0,0,1,0,6,0,0,0
reddy-lab-code-research/StructCoder,https://github.com/reddy-lab-code-research/StructCoder,False,2022-06-09 15:50:40,,[],17,2,2,0,1,Python,8188,0,0,1,0,10,0,0,0
olcf/olcf-user-docs,https://github.com/olcf/olcf-user-docs,False,2019-07-09 20:10:16,Sources for the Oak Ridge Leadership Computing Facility User Documentation,[],42,8,80,0,43,Python,61959,37,20,22,0,1347,0,0,0
jambit/sensAI,https://github.com/jambit/sensAI,False,2020-02-18 18:48:13,the Python library for sensible AI.,"['artificial-intelligence', 'machine-learning', 'python']",11,4,2,19,4,Python,6770,9,0,9,21,932,2,0,126
google/caliban,https://github.com/google/caliban,False,2020-06-02 18:12:50,"Research workflows made easy, locally and in the Cloud.","['docker', 'python3', 'research-tool', 'google-cloud', 'ai-platform']",439,19,54,6,7,Python,2290,22,10,29,26,254,0,0,0
DeepFocuser/MXNet-Detector,https://github.com/DeepFocuser/MXNet-Detector,False,2020-01-09 13:44:37,welcome to Mxnet-Detector implementation page,[],29,1,7,0,2,Python,77179,3,0,1,0,134,0,0,0
UbiOps/tutorials,https://github.com/UbiOps/tutorials,False,2020-12-02 13:08:44,UbiOps Tutorials,[],7,2,2,0,1,Jupyter Notebook,36460,1,0,1,0,1,0,0,0
clementchadebec/benchmark_VAE,https://github.com/clementchadebec/benchmark_VAE,False,2021-10-02 16:26:24,Unifying Generative Autoencoder implementations in Python,"['benchmarking', 'vae', 'pytorch', 'reproducible-research', 'reproducibility', 'deep-learning', 'machine-learning', 'research', 'python', 'comparison', 'generative-model', 'autoencoders', 'normalizing-flows', 'pixel-cnn', 'reproducible-science', 'vae-gan', 'vae-implementation', 'variational-autoencoders', 'vq-vae']",1014,14,83,8,6,Python,43818,4,1,7,8,335,0,0,0
bansalkanav/Machine_Learning_and_Deep_Learning,https://github.com/bansalkanav/Machine_Learning_and_Deep_Learning,False,2020-04-03 19:28:56,,"['aws', 'cnn', 'data-analysis', 'data-science', 'deep-learning-algorithms', 'flask', 'machine-learning', 'mlflow', 'mlops', 'mongodb', 'pandas-python', 'prefect', 'python3', 'sklearn-library', 'sql', 'statistics', 'streamlit', 'tutorial-code', 'visualization']",314,14,152,0,2,Jupyter Notebook,353226,0,0,2,0,376,0,0,0
TrentBrick/attention-approximates-sdm,https://github.com/TrentBrick/attention-approximates-sdm,False,2021-10-26 15:39:04,"Code for the paper ""Attention Approximates Sparse Distributed Memory""",[],11,1,2,0,1,Jupyter Notebook,232128,0,0,1,0,7,0,0,0
