Repo,Error
aws-samples/enhanced-pyspark-processor,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
celi3t/FinTech-UW-2021-11,"404 {""message"": ""Not Found"", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#get-a-repository""}"
netcitizenrus/MADE_BigData_2020,"404 {""message"": ""Not Found"", ""documentation_url"": ""https://docs.github.com/rest/reference/repos#get-a-repository""}"
awslabs/gluonts,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
aws-samples/aws-greengrass-ml-deployment-sample,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
gonsoomoon-ml/SageMaker-Pipelines-Step-By-Step,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
shashankprasanna/amer-summit-aug21-workshop,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
aws-samples/sagemaker-end-to-end-workshop,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
stereopickle/art_title_generator,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
K9Ns/data-pipelines-with-apache-airflow,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
aws-samples/amazon-sagemaker-studio-secure-data-science-workshop,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
pranaychandekar/keras-sagemaker-train,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
johanneslanger/aws-ai-ml-workshop,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
youngmki/sagemaker-pipelines,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
daekeun-ml/time-series-on-aws-hol,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
awslabs/sagemaker-graph-fraud-detection,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
aws-samples/amazon-personalize-samples,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
aws-samples/mask-rcnn-tensorflow,"403 {""message"": ""API rate limit exceeded for user ID 8592144."", ""documentation_url"": ""https://docs.github.com/rest/overview/resources-in-the-rest-api#rate-limiting""}"
