Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
codalab/codalab-competitions,https://github.com/codalab/codalab-competitions,False,2013-06-07 18:23:37,2013-06-07 18:23:38,2022-11-07 13:28:44,[],426,48,122,2,41,Python,65906,3285,884,21,7284,48,0
CharlesPikachu/DecryptLogin,https://github.com/CharlesPikachu/DecryptLogin,False,2019-02-25 01:57:20,2019-02-25 01:57:20,2022-08-29 08:59:05,"['requests', 'login', 'python3', 'spider', 'crawler', 'zhihu', 'bilibili', 'weibo', 'taobao', 'jingdong', 'twitter', 'baiduyun', 'stackoverflow', '12306', 'xiami', 'tencent', 'pypi', 'migu', 'xiaomi', 'baidu']",2447,58,709,0,1,Python,38150,83,11,1,318,0,0
codalab/codalab-worksheets,https://github.com/codalab/codalab-worksheets,False,2014-11-30 22:33:18,2013-11-12 02:18:24,2022-11-16 19:39:27,[],133,20,78,112,54,Python,27460,4309,2211,121,4522,23,1551
facebookresearch/irt-leaderboard,https://github.com/facebookresearch/irt-leaderboard,False,2021-06-16 18:46:22,2021-07-15 17:08:14,2022-03-30 15:27:22,[],14,4,5,0,3,Python,1111,4,2,2,9,0,0
codalab/codabench,https://github.com/codalab/codabench,False,2017-07-27 15:43:10,2017-08-22 19:23:09,2022-11-16 16:00:52,[],20,9,12,0,16,Python,85158,745,292,16,948,3,1701
shidi1985/L2RPN,https://github.com/shidi1985/L2RPN,False,2019-07-06 01:23:38,2019-07-06 01:24:49,2019-10-02 18:57:46,[],47,3,22,0,2,Python,109652,15,11,4,14,0,0
