Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
0x727/FingerprintHub,https://github.com/0x727/FingerprintHub,False,2021-08-20 13:17:26,2021-08-20 13:19:51,2022-11-19 06:28:33,"['fingerprinting', 'nuclei-templates', 'whatweb', 'wappalyzer']",529,15,121,1,7,,7226,44,11,2,817,0,739
w3bd0gs/cocoworker,https://github.com/w3bd0gs/cocoworker,False,2019-01-29 06:55:39,2019-01-29 06:55:40,2019-01-29 14:36:45,[],22,5,14,0,1,Python,2058,0,0,1,3,0,1
joshwcomeau/react-boston-2018,https://github.com/joshwcomeau/react-boston-2018,False,2018-09-01 16:48:46,2018-08-26 15:12:43,2018-09-30 12:35:17,[],16,1,1,0,1,JavaScript,312775,0,0,1,23,0,0
patarapolw/blogdown-cms,https://github.com/patarapolw/blogdown-cms,False,2020-01-01 01:51:34,2020-01-01 01:51:52,2020-07-01 09:47:21,"['blogdown-cms', 'heroku', 'cms']",7,0,1,1,1,TypeScript,2958,46,46,40,98,0,10
Tishka17/domino17,https://github.com/Tishka17/domino17,False,2021-09-22 19:51:56,2021-09-22 19:54:42,2021-09-22 19:54:42,[],8,1,0,0,1,Python,9,0,0,1,1,0,0
DBots-co/Website,https://github.com/DBots-co/Website,False,2020-08-24 09:38:50,2020-03-17 17:34:36,2021-03-30 17:26:57,"['discord-bot-list', 'discord-bot', 'discord-bot-dashboard', 'discord-bots', 'discord']",109,1,66,0,2,TypeScript,7444,31,20,18,159,0,0
bgoonz/DEV-RESOURCES,https://github.com/bgoonz/DEV-RESOURCES,False,2021-11-30 02:06:27,2021-11-30 02:06:06,2022-08-12 02:14:51,[],7,0,4,1,2,JavaScript,840848,257,256,11,38,0,0
JamesLavin/jimmy_jukebox,https://github.com/JamesLavin/jimmy_jukebox,False,2011-08-02 19:27:19,2011-07-21 19:08:41,2018-12-25 00:01:38,[],5,2,1,0,1,Ruby,525,0,0,1,384,0,0
glennj/exercism.io,https://github.com/glennj/exercism.io,False,2019-10-18 18:02:58,2018-12-11 17:55:49,2022-11-16 14:35:11,"['exercism', 'exercism-solutions']",10,3,0,0,2,Shell,11386,29,29,1,535,0,0
tribe29/checkmk,https://github.com/tribe29/checkmk,False,2019-02-20 12:29:54,2009-11-16 18:12:00,2022-11-17 13:59:48,['monitoring'],839,59,344,0,176,Python,3298242,550,550,37,59611,69,0
dominodatalab/python-domino,https://github.com/dominodatalab/python-domino,False,2016-05-16 22:58:02,2016-05-15 04:58:37,2022-11-07 15:05:19,[],50,27,49,13,31,Python,442,162,127,47,197,1,0
eufelipemateus/domino-game,https://github.com/eufelipemateus/domino-game,False,2017-05-31 06:20:18,2017-05-31 06:16:18,2022-08-27 18:56:00,"['game', 'domino', 'nodejs', 'html5', 'html-css', 'express', 'socket-io', 'realtime', 'real-time', 'multiplayer', 'videogame', 'felipe-mateus', 'developer', 'geek', 'dev-junior', 'games', 'game-se', 'dom-html', 'css-modules', 'html-modules']",11,3,8,10,3,TypeScript,2163,54,54,10,224,0,115
tomasbasham/dominos,https://github.com/tomasbasham/dominos,False,2016-01-31 14:45:59,2015-08-26 10:39:38,2019-02-03 15:03:34,"['dominos-pizza', 'pizza']",34,5,90,0,2,Python,73,11,4,1,32,1,0
bgoonz/INTERVIEW-PREP-COMPLETE,https://github.com/bgoonz/INTERVIEW-PREP-COMPLETE,False,2021-02-23 01:04:00,2021-02-24 00:03:11,2022-02-23 15:58:37,[],12,0,18,0,5,JavaScript,479346,317,315,16,302,1,91
pantuza/domino-problem,https://github.com/pantuza/domino-problem,False,2016-10-19 17:15:57,2016-10-19 16:02:19,2019-05-09 13:58:27,"['possibility-matrix', 'odd-numbers', 'domino', 'dominoes', 'python']",22,3,1,0,2,Python,773,3,3,1,60,0,0
dominodatalab/r-package,https://github.com/dominodatalab/r-package,False,2016-02-06 05:47:12,2016-02-06 05:46:23,2017-11-22 22:46:32,[],8,22,3,2,3,R,213,11,5,2,21,0,0
