Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
activeloopai/deeplake,https://github.com/activeloopai/deeplake,False,2019-08-09 06:17:59,2019-08-09 06:18:49,2022-11-17 14:18:36,"['datasets', 'deep-learning', 'machine-learning', 'data-science', 'pytorch', 'tensorflow', 'data-version-control', 'python', 'ai', 'ml', 'mlops', 'computer-vision', 'cv', 'data-processing', 'image-processing', 'data-centric', 'jupyter-notebook', 'datalake', 'lakehouse']",5019,63,407,72,89,Python,61059,1984,1589,91,6490,5,48
arnor-sigurdsson/EIR,https://github.com/arnor-sigurdsson/EIR,False,2021-06-11 12:29:15,2019-09-01 18:24:31,2022-11-10 11:28:09,"['python', 'deep-learning', 'machine-learning']",9,3,3,14,2,Python,29916,37,37,4,1079,0,0
activeloopai/examples,https://github.com/activeloopai/examples,False,2021-09-22 22:09:56,2021-09-22 22:09:57,2022-10-07 21:37:55,[],11,3,8,0,8,Jupyter Notebook,10548,20,19,13,113,0,0
