Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
rgsouthall/vi-suite07,https://github.com/rgsouthall/vi-suite07,False,2021-09-13 17:50:42,2019-03-09 18:48:07,2022-11-18 18:32:10,[],15,3,4,0,1,Python,995348,6,1,1,321,0,0
rdb/obbo,https://github.com/rdb/obbo,False,2020-09-20 13:30:08,2020-09-20 13:29:09,2020-10-03 09:35:36,"['panda3d', 'pyweek']",7,4,0,0,5,Python,94041,1,0,2,398,0,0
onepanelio/core-docs,https://github.com/onepanelio/core-docs,False,2020-02-28 20:59:44,2020-02-29 21:18:07,2021-11-15 20:29:39,[],5,4,8,7,6,CSS,62459,173,173,23,824,0,245
masoodfaisal/ml-workshop,https://github.com/masoodfaisal/ml-workshop,False,2020-12-02 22:30:52,2020-12-03 03:10:43,2021-12-08 02:23:47,[],14,5,17,0,5,Jupyter Notebook,80798,7,5,1,582,1,0
ckaestne/seai,https://github.com/ckaestne/seai,False,2019-02-14 18:55:13,2019-02-14 18:56:51,2022-11-18 22:56:04,"['machine-learning', 'education', 'course-materials', 'software-engineering', 'carnegie-mellon-university']",289,19,119,0,17,HTML,1324348,60,59,10,1051,0,765
rgsouthall/vi-suite061,https://github.com/rgsouthall/vi-suite061,False,2020-11-25 13:57:00,2019-03-09 18:48:07,2022-06-27 10:05:10,[],8,2,3,0,1,Python,800212,6,1,1,221,0,0
VertaAI/modeldb,https://github.com/VertaAI/modeldb,False,2016-10-19 01:07:26,2016-10-19 01:12:23,2022-11-15 20:32:09,"['machine-learning', 'model-management', 'modeldb', 'mit', 'verta', 'model-versioning']",1527,72,263,2,48,Java,45342,3382,3250,510,3552,7,43
rgsouthall/vi-suite06,https://github.com/rgsouthall/vi-suite06,False,2019-03-09 18:48:06,2019-03-09 18:48:07,2021-08-17 12:12:56,[],30,5,8,0,1,Python,600089,34,1,1,190,0,0
