Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
gmum/Zero-Time-Waste,https://github.com/gmum/Zero-Time-Waste,False,2021-06-07 09:34:38,2021-06-07 09:34:39,2022-09-20 10:48:28,[],12,5,3,0,2,Python,154,0,0,1,7,0,0
Lynda-Starkus/DeepvisionAI_Backend,https://github.com/Lynda-Starkus/DeepvisionAI_Backend,False,2021-09-15 16:51:17,2021-09-15 17:04:57,2021-12-21 01:01:43,"['deeplearning', 'computer-vision', 'autoencoder', 'abnormal-behavior-detection', 'abnormal-events', 'abnormal-crowd-activity', 'tensorflow', 'pytorch', 'yolov5', 'tracking', 'background-subtraction']",10,1,3,0,1,Python,86176,2,0,2,16,0,0
neptune-ai/neptune-lib,https://github.com/neptune-ai/neptune-lib,False,2019-01-08 13:32:15,2019-01-08 12:32:08,2019-07-19 15:48:42,"['neptune', 'neptune-platform', 'extension', 'extensibility', 'machine-learning', 'deep-learning', 'data-science', 'python', 'python3', 'api', 'api-client', 'experiment', 'artificial-intelligence', 'comparison-tool', 'python27']",5,11,2,3,3,Python,110,31,19,4,46,0,0
SeuTao/TGS-Salt-Identification,https://github.com/SeuTao/TGS-Salt-Identification,False,2018-10-21 02:37:57,2018-10-21 02:37:03,2021-11-03 16:04:48,"['kaggle', 'pseudo-labeling', 'pytorch']",340,15,89,0,2,Python,963,11,3,1,25,0,0
openclimatefix/predict_pv_yield,https://github.com/openclimatefix/predict_pv_yield,False,2020-09-30 16:46:56,2020-09-30 16:47:12,2022-04-07 10:59:27,['nowcasting'],44,5,5,0,3,Jupyter Notebook,42847,96,22,12,379,0,0
hms-dbmi/breastCaPathologyTranscriptomics,https://github.com/hms-dbmi/breastCaPathologyTranscriptomics,False,2021-01-01 20:59:23,2021-01-01 20:59:25,2021-01-15 23:27:01,[],5,4,6,0,2,Python,71306,0,0,1,13,0,0
drivendataorg/open-cities-ai-challenge,https://github.com/drivendataorg/open-cities-ai-challenge,False,2020-04-20 20:43:16,2020-04-20 20:43:18,2020-05-11 18:30:35,[],99,6,22,0,1,Jupyter Notebook,5093,7,6,1,12,0,0
khoadoan106/single_loss_quantization,https://github.com/khoadoan106/single_loss_quantization,False,2022-06-01 13:15:20,2022-06-01 13:15:21,2022-07-12 02:37:44,[],12,1,1,0,1,Python,15789,3,2,2,8,0,0
deepsense-ai/hands-on-deep-learning,https://github.com/deepsense-ai/hands-on-deep-learning,False,2017-11-08 08:09:40,2017-11-03 14:30:56,2018-02-28 21:10:29,[],7,3,4,0,1,Jupyter Notebook,26,0,0,2,27,0,0
jianzfb/antgo,https://github.com/jianzfb/antgo,False,2017-08-10 13:48:26,2017-08-10 13:49:13,2022-11-15 12:36:02,"['machinelearning', 'evaluation', 'challenge', 'train', 'mltalker']",12,5,6,1,1,Python,9817,3,2,4,428,0,0
kozodoi/website,https://github.com/kozodoi/website,False,2020-05-10 20:32:58,2020-05-10 20:33:00,2022-11-02 08:04:27,"['blog', 'fastpages', 'github-pages', 'website', 'portfolio', 'kaggle']",12,1,8,0,2,Jupyter Notebook,124042,24,16,4,655,0,469
squaresLab/SOAR,https://github.com/squaresLab/SOAR,False,2020-10-18 22:44:17,2021-01-21 23:33:43,2022-05-17 15:55:17,[],7,2,4,0,1,Python,144413,0,0,2,8,0,0
morningmoni/CiteSum,https://github.com/morningmoni/CiteSum,False,2022-05-09 20:53:44,2022-05-09 20:57:51,2022-07-08 20:55:51,"['text-summarization', 'citation-text-generation', 'scientific-summarization', 'extreme-summarization']",21,2,1,0,1,Python,2596,0,0,1,8,0,0
aws/graph-notebook,https://github.com/aws/graph-notebook,False,2020-10-01 23:22:32,2020-10-01 23:22:34,2022-11-08 01:10:53,"['graph', 'gremlin', 'jupyter', 'jupyter-widgets', 'sparql', 'neptune', 'opencypher', 'cypher', 'rdf', 'apache', 'tinkerpop', 'jupyter-notebook']",491,33,111,32,22,Jupyter Notebook,19669,396,258,13,307,0,0
AlessioGalluccio/FastFlow,https://github.com/AlessioGalluccio/FastFlow,False,2021-11-28 16:49:37,2021-11-30 02:01:33,2022-02-10 16:09:59,[],37,3,14,0,1,Python,197,16,1,2,31,0,0
RadionBik/ML-based-network-traffic-classifier,https://github.com/RadionBik/ML-based-network-traffic-classifier,False,2018-02-06 18:00:43,2018-02-06 18:14:56,2022-07-16 17:56:09,[],38,4,6,0,2,Python,4281,20,19,13,87,0,0
TheIncredibleHouk/MushroomMayhem,https://github.com/TheIncredibleHouk/MushroomMayhem,False,2015-04-08 01:23:58,2012-07-15 13:08:57,2022-11-12 15:15:59,[],5,3,1,0,1,Assembly,39054,84,27,20,554,0,0
imfht/flaskapps,https://github.com/imfht/flaskapps,False,2021-01-31 09:23:32,2021-02-02 03:05:43,2021-02-02 03:05:43,[],9,2,5,0,1,,440984,2,1,2,1,0,0
eldar/snes,https://github.com/eldar/snes,False,2022-07-18 13:43:11,2022-07-18 13:44:01,2022-08-15 14:41:31,[],51,6,5,0,2,Jupyter Notebook,3212,1,0,1,5,0,0
dhuynh95/fast_neptune,https://github.com/dhuynh95/fast_neptune,False,2020-01-23 09:44:05,2020-01-23 09:44:07,2020-01-28 14:36:27,[],6,2,3,0,1,Jupyter Notebook,1587,9,9,4,20,0,12
rjsears/GardenPi,https://github.com/rjsears/GardenPi,False,2020-08-01 01:19:24,2020-08-01 01:19:25,2021-08-10 00:15:34,"['python3', 'flask', 'irrigation-controller', 'raspberry-pi-4', 'css', 'aquaponics', 'hydroponics']",236,26,33,0,2,JavaScript,24278,10,2,1,266,0,42
neptune-ai/examples,https://github.com/neptune-ai/examples,False,2021-02-19 11:23:33,2021-02-19 11:23:34,2022-11-14 13:17:32,"['mlops', 'pytorch', 'tensorflow', 'keras', 'optuna', 'fastai', 'lightgbm', 'xgboost', 'kedro', 'sacred', 'pandas', 'visualization', 'dashboard', 'ml', 'compare', 'pipelines', 'ci', 'cd', 'metadata', 'store']",25,10,13,0,11,Jupyter Notebook,15821,143,141,4,390,0,0
Fkaneko/kaggle_Google_Smartphone_Decimeter_Challenge,https://github.com/Fkaneko/kaggle_Google_Smartphone_Decimeter_Challenge,False,2021-08-06 12:17:48,2021-08-06 12:17:49,2022-05-06 01:47:47,"['kaggle', 'convolutional-neural-networks', 'computer-vision', 'short-time-fourier-transform', 'gnss']",12,1,10,0,1,Python,5086,2,1,2,12,0,0
