Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments
mini-peanut/search-table,https://github.com/mini-peanut/search-table,False,2019-06-14 08:55:16,[],15,0,7,0,2,TypeScript,555,0,0,1,8,18,0,0,0
Anwarvic/Dan-Jurafsky--Chris-Manning--NLP,https://github.com/Anwarvic/Dan-Jurafsky--Chris-Manning--NLP,False,2017-12-14 12:46:47,"['autocorrector', 'autocorrection', 'regular-expression', 'regular-expressions', 'sentiment-analysis', 'sentiment-classification', 'ner', 'named-entity-recognition', 'parsing', 'parser', 'cky-parser', 'cky-algorithm', 'cky', 'information-retrieval', 'information-extraction', 'question-answering', 'nlp', 'nlp-machine-learning', 'text-classification', 'text-processing']",152,8,53,0,1,Java,52088,0,0,1,0,26,0,0,0
40ants/hacrm,https://github.com/40ants/hacrm,False,2017-08-16 19:58:04,"['lisp', 'common-lisp', 'crm', 'plugins']",4,3,0,0,1,Common Lisp,5379,1,0,1,0,100,0,0,0
sclorg/scl-utils,https://github.com/sclorg/scl-utils,False,2014-12-05 10:54:56,[],12,10,22,0,12,C,132,18,5,2,6,137,3,0,0
CharlesPikachu/DecryptLogin,https://github.com/CharlesPikachu/DecryptLogin,False,2019-02-25 01:57:20,"['requests', 'login', 'python3', 'spider', 'crawler', 'zhihu', 'bilibili', 'weibo', 'taobao', 'jingdong', 'twitter', 'baiduyun', 'stackoverflow', '12306', 'xiami', 'tencent', 'pypi', 'migu', 'xiaomi', 'baidu']",2446,58,708,0,1,Python,38150,5,1,1,0,318,0,0,0
equinor/xtgeo,https://github.com/equinor/xtgeo,False,2018-02-22 13:47:12,[],87,19,39,171,17,Python,8773,68,1,9,313,2074,0,0,0
fayola21/farsec,https://github.com/fayola21/farsec,False,2016-12-02 15:25:40,[],5,2,4,0,1,Clojure,134380,0,0,1,0,30,0,0,0
hpcc-systems/docker-hpcc,https://github.com/hpcc-systems/docker-hpcc,False,2018-04-17 08:34:08,[],7,13,12,0,2,Shell,56,4,4,1,0,26,1,0,0
kangeunsu/ArtML,https://github.com/kangeunsu/ArtML,False,2019-01-22 03:50:07,[],5,0,4,0,2,Jupyter Notebook,606739,0,0,1,0,88,0,0,0
compomics/searchgui,https://github.com/compomics/searchgui,False,2015-08-21 21:31:39,"['proteomics', 'protein-identification', 'bioinformatics', 'java']",26,18,17,0,7,Java,667039,10,0,5,0,932,1,0,0
ncbi/ncbi-cxx-toolkit-public,https://github.com/ncbi/ncbi-cxx-toolkit-public,False,2021-07-26 19:41:58,[],19,12,6,2,0,C++,144892,2,0,2,2,4374,0,0,0
stanfordnlp/color-describer,https://github.com/stanfordnlp/color-describer,False,2016-06-10 08:08:54,[],26,14,18,0,2,OpenEdge ABL,5414,0,0,1,0,355,0,0,0
mlufei/depot_tools,https://github.com/mlufei/depot_tools,False,2015-09-28 04:03:09,[],8,4,12,0,65,Python,12040,0,0,2,0,2822,0,0,0
fletcherjiang/ssm-alipay,https://github.com/fletcherjiang/ssm-alipay,False,2020-04-19 10:49:09,[],13,4,110,0,1,C++,25572,0,0,2,0,689,0,0,0
rajammanabrolu/StoryRealization,https://github.com/rajammanabrolu/StoryRealization,False,2019-08-20 21:18:23,[],28,1,9,0,2,Python,3981,1,0,1,0,5,0,0,0
MCZhi/Expert-Prior-RL,https://github.com/MCZhi/Expert-Prior-RL,False,2021-09-15 08:20:14,['deep-reinforcement-learning'],30,1,4,0,1,Python,264622,2,0,2,0,86,0,0,57
graykode/KorQuAD-beginner,https://github.com/graykode/KorQuAD-beginner,False,2019-04-26 11:00:51,"['bert', 'squad']",41,4,11,0,1,Python,8405,0,0,1,0,7,0,0,0
smashse/iac-public,https://github.com/smashse/iac-public,False,2020-05-12 19:59:24,"['pulumi', 'infrastructure', 'terraform', 'devops', 'iac', 'hcl', 'python']",13,0,7,0,1,HCL,124,0,0,1,0,81,0,0,0
eugeneia/athens,https://github.com/eugeneia/athens,False,2018-08-15 11:59:11,[],6,1,0,0,1,Common Lisp,4821,0,0,2,1,69,0,0,0
homemade/scl,https://github.com/homemade/scl,False,2016-11-08 12:01:58,[],19,4,1,0,2,Go,57,0,0,2,16,82,0,0,0
rarible/sdk,https://github.com/rarible/sdk,False,2021-10-05 10:00:49,[],63,18,27,1,12,TypeScript,10473,11,2,41,332,939,1,0,0
benjmarshall/hlsclt,https://github.com/benjmarshall/hlsclt,False,2017-06-12 11:15:35,"['high-level-synthesis', 'python', 'vivado-hls', 'fpga']",35,4,11,8,2,Python,64,8,4,4,8,85,0,0,0
ipspace/blog,https://github.com/ipspace/blog,False,2021-07-23 18:22:25,[],11,3,0,0,2,HTML,154465,0,0,2,0,867,0,0,0
USC-NSL/SPA,https://github.com/USC-NSL/SPA,False,2014-12-30 08:14:05,[],10,23,9,0,2,,1158528,0,0,1,0,1618,0,0,0
kshannon/abnormal-xray-detection,https://github.com/kshannon/abnormal-xray-detection,False,2018-06-18 00:03:57,"['deep-learning', 'medical-imaging', 'tensorflow', 'mura-dataset']",9,4,7,0,2,Python,1931,0,0,1,0,47,0,0,0
wilsonianb/nacl_contracts,https://github.com/wilsonianb/nacl_contracts,False,2014-04-24 20:33:21,[],5,3,1,0,0,C,25456,0,0,1,0,19,0,0,0
dazcona/mrnet,https://github.com/dazcona/mrnet,False,2020-10-18 21:30:02,[],8,2,1,0,0,Jupyter Notebook,35397,1,0,1,0,1,0,0,0
landing-ai/data-centric-comp,https://github.com/landing-ai/data-centric-comp,False,2021-05-05 18:31:31,[],11,3,0,0,2,JavaScript,34339,0,0,2,0,35,0,0,32
Shuailong/BlamePipeline,https://github.com/Shuailong/BlamePipeline,False,2018-05-13 14:51:37,"['relation-extraction', 'blame']",5,3,3,0,1,Python,4348,1,0,1,0,48,0,0,0
cybertk/depot_tools,https://github.com/cybertk/depot_tools,False,2014-05-22 09:13:46,[],22,4,23,0,1,Python,10188,0,0,1,0,2321,0,0,0
p-lambda/in-n-out,https://github.com/p-lambda/in-n-out,False,2020-10-08 23:00:33,"['out-of-distribution', 'robustness', 'pre-training', 'self-training']",11,13,0,0,3,Python,857,1,0,1,0,63,0,0,0
xnancy/russ,https://github.com/xnancy/russ,False,2020-10-07 00:27:34,[],10,4,4,0,4,Python,17878,0,0,1,0,124,0,0,0
yewsiang/ConceptBottleneck,https://github.com/yewsiang/ConceptBottleneck,False,2020-03-10 23:39:35,"['concept-bottleneck-models', 'osteoarthritis-initiative', 'cub-dataset', 'concepts', 'interpretability', 'interpretable-machine-learning', 'computer-vision']",92,5,17,0,3,Python,1577,8,6,7,0,31,0,0,0
svn2github/chromium-depot-tools,https://github.com/svn2github/chromium-depot-tools,False,2014-10-10 09:54:08,[],14,3,3,0,0,Python,12558,2,0,1,0,2914,0,0,0
rust11/rust,https://github.com/rust11/rust,False,2015-03-18 05:18:25,"['pdp11', 'operating-system', 'emulator', 'pdp-11', 'rt-11']",9,4,2,0,2,C,87680,5,0,1,2,239,0,0,184
bapoczos/ArtML,https://github.com/bapoczos/ArtML,False,2018-02-22 07:51:13,[],9,4,5,0,1,Jupyter Notebook,592887,0,0,1,0,80,0,0,0
rise-lang/shine,https://github.com/rise-lang/shine,False,2019-12-20 12:08:54,"['rise', 'shine', 'compiler']",37,10,4,0,12,Scala,11540,63,8,65,1,2805,1,0,0
p-lambda/swords,https://github.com/p-lambda/swords,False,2021-05-19 20:18:06,"['swords', 'benchmark', 'nlp', 'lexical-substitution', 'writing-assistant']",25,15,2,0,2,Python,135558,2,1,1,0,21,0,0,0
robinjia/adversarial-squad,https://github.com/robinjia/adversarial-squad,False,2017-07-21 17:11:46,[],115,6,26,0,1,Python,378,1,0,1,0,3,0,0,0
SlackBuildsOrg/slackbuilds,https://github.com/SlackBuildsOrg/slackbuilds,False,2016-01-18 21:37:11,[],56,12,70,0,231,Shell,152943,20,20,4,652,89759,5,0,0
Teamxrtc/webrtc-streaming-node,https://github.com/Teamxrtc/webrtc-streaming-node,False,2015-12-10 18:55:35,[],6,4,5,0,1,C++,131201,2,1,1,0,2,0,0,0
djsegal/JuliaPackages.jl,https://github.com/djsegal/JuliaPackages.jl,False,2020-03-24 23:06:36,[],6,3,0,0,1,Julia,41173,1,0,1,0,66,0,0,0
codalab/worksheets-examples,https://github.com/codalab/worksheets-examples,False,2018-10-27 21:14:14,[],35,13,17,0,7,Python,6429,6,0,3,0,61,0,0,0
intel/OpenVINO-optimization-for-PointPillars,https://github.com/intel/OpenVINO-optimization-for-PointPillars,False,2021-12-13 23:21:17,[],17,2,3,0,3,C++,55649,0,0,1,0,14,0,0,0
facebookresearch/irt-leaderboard,https://github.com/facebookresearch/irt-leaderboard,False,2021-06-16 18:46:22,[],14,4,4,0,3,Python,1111,1,0,2,0,9,0,0,0
NVIDIA/deepops,https://github.com/NVIDIA/deepops,False,2018-05-24 22:59:36,[],879,51,268,18,57,Shell,19328,21,4,15,21,3683,5,0,0
