Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
VlachosGroup/AIMSim,https://github.com/VlachosGroup/AIMSim,False,2020-02-09 19:47:09,2019-12-11 21:55:28,2022-08-23 20:26:02,"['machine-learning', 'clustering']",11,2,2,8,3,Python,11623,232,152,7,1229,0,401
ctuning/ck-ml,https://github.com/ctuning/ck-ml,False,2021-04-07 15:21:06,2021-04-07 15:21:07,2021-07-10 12:27:52,[],6,2,2,2,2,C,49718,1,1,1,114,0,0
facebookresearch/ParlAI,https://github.com/facebookresearch/ParlAI,False,2017-04-24 17:10:44,2017-05-01 20:51:41,2022-11-17 16:48:39,[],9541,288,1953,22,184,Python,144579,4765,3305,158,4274,78,0
hadasah/btm,https://github.com/hadasah/btm,False,2022-08-02 06:33:45,2022-08-02 06:33:45,2022-11-12 02:21:49,[],31,10,0,0,1,Python,17970,1,0,1,4,0,0
JeanKaddour/lawa,https://github.com/JeanKaddour/lawa,False,2022-09-29 10:51:56,2022-09-29 10:51:57,2022-10-08 11:50:03,[],10,2,1,0,1,Python,934,0,0,1,10,0,0
My-Personal-HUB/AI_Jarvis,https://github.com/My-Personal-HUB/AI_Jarvis,False,2020-09-19 11:49:02,2020-09-19 11:49:04,2020-10-19 18:28:31,"['hacktoberfest', 'hacktoberfest2020', 'hacktoberfest-accepted', 'jarvis']",7,2,8,0,6,Python,592,20,17,2,47,3,1
Harmon758/Harmonbot,https://github.com/Harmon758/Harmonbot,False,2016-02-11 07:31:00,2014-12-13 02:53:00,2022-11-16 00:04:04,"['bot', 'discord', 'discord-bot', 'discordapp', 'go', 'golang', 'mirc', 'msl', 'python', 'telegram', 'telegram-bot', 'twitch', 'twitch-bot', 'twitch-irc', 'twitchbot', 'twitchirc', 'discord-py', 'discordpy', 'python-telegram-bot', 'twitchio']",39,4,14,0,8,Python,341085,4853,4486,52,8246,1,2574
sparkmxy/my-offlinerl,https://github.com/sparkmxy/my-offlinerl,False,2021-05-30 04:07:44,2020-11-25 09:13:26,2022-06-14 06:34:56,[],17,1,5,0,4,Python,174,2,0,1,106,0,0
keshavsingh4522/hacktoberfest2021,https://github.com/keshavsingh4522/hacktoberfest2021,False,2020-09-24 18:11:20,2020-09-24 18:11:22,2021-10-23 07:24:22,"['stickers', 'developer', 'dev', 'tshirts', 'digitalocean', 'opensource', 'firsttime', 'first-contribution', 'first-pull-request-and-commit', 'first-pull-request', 'hacktoberfest', 'hacktoberfest-starter', 'prs-welcome', 'good-first-issue', 'good-first-pr', 'hacktoberfest-accepted', 'hacktoberfest-event', 'hacktoberfest-swag', 'hacktoberfest2021', 'hacktoberfest-2021']",815,3,4072,1,434,Jupyter Notebook,292964,4450,4225,6,1774,7,3
CiscoDevNet/MUD-URL-Validator,https://github.com/CiscoDevNet/MUD-URL-Validator,False,2018-05-26 00:43:26,2018-05-26 00:43:26,2019-09-12 08:18:53,"['ietf', 'iot']",7,22,3,0,2,Python,348,0,0,1,23,0,0
