Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
dxc-technology/halstack-react,https://github.com/dxc-technology/halstack-react,False,2020-07-07 14:30:35,2019-05-28 09:07:44,2022-11-11 11:09:41,"['react', 'design-system', 'ux', 'cdk']",14,14,11,19,14,TypeScript,185231,1346,860,25,5054,0,0
devMEremenko/XcodeBenchmark,https://github.com/devMEremenko/XcodeBenchmark,False,2020-08-18 17:47:47,2020-08-18 17:46:42,2022-10-19 13:12:43,"['xcode', 'benchmark', 'swift', 'cocoapods']",2172,42,262,0,80,Swift,162956,371,204,4,343,1,0
hpe-dev-incubator/hpe-dev-portal,https://github.com/hpe-dev-incubator/hpe-dev-portal,False,2019-08-15 18:51:45,2019-08-21 21:59:41,2022-11-18 19:07:02,[],9,4,73,0,42,HTML,167994,1520,1315,71,5298,0,0
KevinTMtz/iOSApps,https://github.com/KevinTMtz/iOSApps,False,2020-06-01 02:39:40,2020-06-01 02:39:40,2020-09-01 06:54:50,"['swiftui', 'swift5', 'ios', 'xcode', 'coreml', 'coredata', 'realm', 'firebase', 'api']",5,1,1,0,1,Swift,60310,0,0,1,72,0,0
aryasurya21/Coronope,https://github.com/aryasurya21/Coronope,False,2020-03-15 07:44:22,2020-03-15 07:39:56,2020-12-29 15:53:22,[],7,1,0,0,1,Swift,115400,0,0,1,31,0,0
codrsquad/setupmeta,https://github.com/codrsquad/setupmeta,False,2017-11-27 20:38:09,2017-11-27 20:38:10,2022-06-01 20:30:31,[],88,6,13,0,7,Python,839,76,51,1,399,2,0
openvinotoolkit/openvino,https://github.com/openvinotoolkit/openvino,False,2018-10-15 10:54:40,2018-10-15 19:19:27,2022-11-19 13:57:15,"['inference-engine', 'inference', 'deep-learning', 'performance', 'openvino', 'model-optimizer']",3812,166,1547,25,360,C++,207542,14084,12452,28,8751,26,0
mlcommons/tiny_results_v0.7,https://github.com/mlcommons/tiny_results_v0.7,False,2022-04-04 17:13:37,2020-10-14 18:21:44,2022-04-05 18:31:48,[],8,4,7,0,6,C,243887,1,1,1,28,0,0
GoogleCloudPlatform/fda-mystudies,https://github.com/GoogleCloudPlatform/fda-mystudies,False,2019-12-20 15:31:57,2018-01-25 17:12:07,2022-10-28 17:07:39,[],46,24,40,12,54,Java,340944,5083,2507,138,10036,1,0
determined-ai/e2e-example,https://github.com/determined-ai/e2e-example,False,2020-05-15 15:41:32,2020-05-15 15:41:33,2020-06-15 21:34:56,[],6,6,1,0,0,Jupyter Notebook,2456,0,0,1,7,0,0
NeedQuiet/DNLocalMusicPlayer,https://github.com/NeedQuiet/DNLocalMusicPlayer,False,2020-07-02 02:58:17,2020-07-02 02:58:18,2020-10-14 01:50:52,[],5,1,2,0,1,Swift,15800,0,0,1,94,0,0
determined-ai/yogadl,https://github.com/determined-ai/yogadl,False,2020-01-24 17:35:52,2020-01-24 17:35:53,2021-05-03 18:55:30,[],73,8,6,0,6,Python,125,34,33,7,38,0,0
Kronuz/pyScss,https://github.com/Kronuz/pyScss,False,2011-02-04 02:23:11,2011-02-04 02:32:14,2022-02-23 12:47:48,[],579,19,138,3,46,CSS,2892,428,110,10,1285,5,0
NVIDIA/data-science-stack,https://github.com/NVIDIA/data-science-stack,False,2020-02-04 00:01:01,2020-02-14 22:06:31,2021-06-25 19:55:28,[],276,17,45,12,7,Shell,16322,129,23,2,161,1,0
christhoper/GreatPeotry,https://github.com/christhoper/GreatPeotry,False,2020-04-20 07:20:23,2020-04-20 07:20:24,2021-03-16 10:21:54,['viper'],5,1,1,0,1,Swift,87579,4,4,3,41,0,0
artyommihailovich/ChatApp,https://github.com/artyommihailovich/ChatApp,False,2020-09-25 10:30:28,2020-09-25 10:30:30,2022-07-24 20:10:14,[],10,2,2,0,1,Swift,57055,24,24,2,83,0,0
