Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
GoogleCloudPlatform/mlops-with-vertex-ai,https://github.com/GoogleCloudPlatform/mlops-with-vertex-ai,False,2021-07-21 08:00:40,2021-07-21 08:06:02,2022-08-31 12:49:59,"['mlops', 'vertex-ai', 'tfx', 'gcp', 'tensorflow', 'google-cloud-platform']",233,15,81,0,3,Jupyter Notebook,207,28,5,1,61,0,0
GoogleCloudPlatform/java-docs-samples,https://github.com/GoogleCloudPlatform/java-docs-samples,False,2015-03-25 22:48:38,2015-03-25 23:18:42,2022-11-21 20:34:02,"['java', 'kotlin', 'appengine', 'auth', 'automl', 'cdn', 'vision', 'video', 'translate', 'samples']",1489,136,2669,1,271,Java,96142,7427,6200,16,8723,36,0
GoogleCloudPlatform/professional-services,https://github.com/GoogleCloudPlatform/professional-services,False,2017-05-18 19:29:27,2017-05-19 00:01:28,2022-11-18 00:12:17,"['google-cloud-platform', 'google-cloud-dataflow', 'google-cloud-ml', 'google-cloud-compute', 'gke', 'bigquery', 'solutions', 'tools', 'examples']",2338,149,1134,0,198,Python,345446,932,792,4,1771,5,0
Kaggle/docker-python,https://github.com/Kaggle/docker-python,False,2015-04-14 01:45:38,2015-03-23 18:20:35,2022-10-24 17:51:04,[],2044,91,863,86,125,Python,2346,1184,885,11,2016,9,0
googleapis/java-aiplatform,https://github.com/googleapis/java-aiplatform,False,2020-09-23 21:40:58,2020-09-21 21:22:58,2022-11-08 17:16:20,[],7,41,22,55,20,Java,34565,1136,899,49,776,0,0
databricks-academy/ml-in-production-english,https://github.com/databricks-academy/ml-in-production-english,False,2021-07-23 01:58:18,2021-07-23 01:58:19,2022-09-13 19:02:29,[],69,4,65,13,2,Python,461,1,1,6,40,0,0
GoogleCloudPlatform/nvidia-merlin-on-vertex-ai,https://github.com/GoogleCloudPlatform/nvidia-merlin-on-vertex-ai,False,2021-11-12 21:28:06,2021-11-12 21:39:43,2022-07-26 20:06:48,[],21,10,5,0,4,Jupyter Notebook,6334,26,21,3,190,2,0
ml6team/quick-tips,https://github.com/ml6team/quick-tips,False,2020-12-17 06:56:14,2020-12-17 06:56:15,2022-10-04 08:41:50,['machine-learning'],72,7,7,0,18,Jupyter Notebook,26886,39,39,7,260,0,0
svan0/anime_recommendation_system,https://github.com/svan0/anime_recommendation_system,False,2021-10-25 13:21:14,2021-10-25 13:26:32,2022-03-27 14:32:58,"['gcp', 'gcp-cloud-functions', 'gcp-pubsub', 'gcp-sql', 'gcp-kubernetes', 'gcp-memorystore', 'etl', 'scrapy', 'anime-scraper', 'anime', 'anime-recommendations', 'gcp-app-e', 'kubeflow', 'vertex-ai', 'tensorflow2', 'airflow', 'gcp-composer', 'bigquery', 'gcp-dataflow']",9,2,0,0,1,Python,112281,0,0,4,102,0,0
GoogleCloudPlatform/asl-ml-immersion,https://github.com/GoogleCloudPlatform/asl-ml-immersion,False,2020-06-12 13:08:47,2018-02-08 18:38:07,2022-11-08 13:55:34,"['google-cloud-platform', 'machine-learning', 'tensorflow']",40,11,221,1,14,Jupyter Notebook,254901,273,251,14,1126,3,0
