Repo,Link,Archived,Creation Date,First Activity Date,Last Activity Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Language,Size,#Issues,#Pull Requests,#Branches,#Commits,#Comments,#Deployments
TonyMarkham/LocalDeepRacerUbuntuInstallation,https://github.com/TonyMarkham/LocalDeepRacerUbuntuInstallation,False,2019-08-10 18:15:49,2019-08-10 18:17:40,2019-10-06 16:26:53,[],8,2,4,0,2,Python,4540,5,0,1,64,0,0
aws-samples/amazon-sagemaker-aws-greengrass-custom-object-detection-model,https://github.com/aws-samples/amazon-sagemaker-aws-greengrass-custom-object-detection-model,False,2019-06-26 00:25:13,2019-06-26 00:25:14,2020-12-08 22:17:33,[],39,4,29,0,2,Jupyter Notebook,8543,16,10,3,78,0,0
d2l-ai/d2l-book,https://github.com/d2l-ai/d2l-book,False,2019-04-19 22:15:55,2019-04-19 22:15:56,2022-11-15 23:22:55,[],145,8,77,2,10,Python,1635,68,46,9,480,7,0
data-science-on-aws/ai4good-hackathon,https://github.com/data-science-on-aws/ai4good-hackathon,False,2020-04-19 11:07:51,2020-04-19 11:07:52,2020-04-21 19:45:20,[],11,4,9,0,2,Jupyter Notebook,10171,0,0,1,24,0,0
aws-samples/amazon-neptune-ml-use-cases,https://github.com/aws-samples/amazon-neptune-ml-use-cases,False,2021-11-07 09:06:48,2021-11-07 08:06:49,2021-12-14 03:43:20,"['graphs', 'machine-learning', 'gnn', 'gcn', 'amazon-neptune', 'fraud-detection', 'graph-neural-networks']",8,5,2,0,3,Jupyter Notebook,1740,0,0,1,12,0,0
suryasanchez/machine-learning-engineer-nanodegree,https://github.com/suryasanchez/machine-learning-engineer-nanodegree,False,2020-02-03 19:55:51,2020-02-03 19:55:52,2020-03-29 03:31:21,"['educational-project', 'udacity-machine-learning']",6,4,2,0,1,Python,3746,0,0,1,14,0,0
qcwthu/Continual_Fewshot_Relation_Learning,https://github.com/qcwthu/Continual_Fewshot_Relation_Learning,False,2022-03-03 07:19:51,2022-03-03 07:19:52,2022-04-17 13:52:12,[],10,1,0,0,1,Python,11356,7,0,1,19,0,0
aws-solutions/mlops-workload-orchestrator,https://github.com/aws-solutions/mlops-workload-orchestrator,False,2020-10-14 23:20:14,2020-10-14 23:20:17,2022-08-11 14:31:22,"['machine-learning', 'mlops', 'artificial-intelligence']",114,15,45,10,7,Python,1459,21,15,3,29,0,0
aws-samples/aws-nlp-workshop,https://github.com/aws-samples/aws-nlp-workshop,False,2018-07-15 22:34:51,2018-07-15 22:34:52,2019-01-28 20:52:57,[],49,12,37,0,3,Jupyter Notebook,45446,1,1,1,71,0,0
aws-samples/sagemaker-horovod-distributed-training,https://github.com/aws-samples/sagemaker-horovod-distributed-training,False,2018-11-25 06:29:37,2018-11-25 06:29:37,2019-11-18 15:05:21,[],34,23,17,0,4,Jupyter Notebook,6444,1,1,2,47,0,0
whn09/deepctr_sagemaker,https://github.com/whn09/deepctr_sagemaker,False,2021-01-09 14:32:04,2021-01-09 14:32:06,2021-08-02 10:41:09,[],5,2,2,0,1,Jupyter Notebook,130,0,0,1,26,0,0
aws-samples/aws-panorama-samples,https://github.com/aws-samples/aws-panorama-samples,False,2020-11-11 23:57:12,2020-11-11 23:57:15,2022-11-15 17:20:30,"['aws', 'edge', 'computer-vision']",70,14,45,0,13,Python,365472,75,55,7,349,0,0
ACloudGuru-Resources/Course_AWS_Certified_Machine_Learning,https://github.com/ACloudGuru-Resources/Course_AWS_Certified_Machine_Learning,False,2019-01-14 07:57:54,2019-01-14 07:57:55,2021-01-04 13:28:04,[],126,15,362,0,4,Jupyter Notebook,15799,6,4,1,32,0,0
awslabs/service-workbench-on-aws,https://github.com/awslabs/service-workbench-on-aws,False,2020-03-09 20:30:13,2020-03-09 20:30:14,2022-11-16 19:09:51,[],151,26,103,45,36,JavaScript,224954,1067,908,26,716,1,337
aletheia/mnist_pl_sagemaker,https://github.com/aletheia/mnist_pl_sagemaker,False,2020-07-11 21:49:06,2020-07-11 21:58:20,2021-05-11 17:32:08,[],19,1,2,0,2,Jupyter Notebook,1585,13,11,6,33,0,0
aws-samples/amazon-sagemaker-mlops-workshop,https://github.com/aws-samples/amazon-sagemaker-mlops-workshop,False,2021-03-10 07:24:51,2021-03-10 07:24:52,2022-11-06 09:46:57,"['sagemaker', 'sagemaker-studio', 'sagemaker-processing', 'sagemaker-deployment', 'tensorflow2', 'sagemaker-pipelines', 'machine-learning', 'mlops-workshop', 'model-monitoring', 'amazon-sagemaker']",53,4,15,0,6,Jupyter Notebook,3623,5,4,2,95,0,0
ishaaq/sagemaker-pipe,https://github.com/ishaaq/sagemaker-pipe,False,2018-03-02 06:36:44,2018-03-02 06:34:45,2020-04-14 06:08:19,[],10,2,3,0,1,Python,11,1,0,1,9,0,0
pmservice/ai-openscale-tutorials,https://github.com/pmservice/ai-openscale-tutorials,False,2018-10-22 12:41:35,2018-10-22 12:41:36,2020-11-10 15:19:56,[],16,16,58,0,8,Jupyter Notebook,58302,18,13,4,386,0,0
aws-samples/sagemaker-distributed-training-workshop,https://github.com/aws-samples/sagemaker-distributed-training-workshop,False,2022-08-16 21:47:11,2022-08-16 21:47:12,2022-11-09 04:47:10,"['aws', 'dataparallelism', 'deep-learning', 'modelparallelism', 'sagemaker-training']",17,1,6,0,4,Python,5722,5,5,1,103,0,0
aws-samples/aws-mlflow-sagemaker-cdk,https://github.com/aws-samples/aws-mlflow-sagemaker-cdk,False,2021-10-13 18:25:44,2021-10-13 18:25:46,2022-10-06 07:33:19,"['aws', 'cdk', 'fargate', 'mlflow', 'mlflow-tracking', 'nginx', 'sagemaker']",18,2,8,0,6,Jupyter Notebook,26787,25,19,4,69,0,0
lpatruno/sagemaker-workshop-420,https://github.com/lpatruno/sagemaker-workshop-420,False,2020-04-03 10:35:26,2020-04-03 10:35:51,2020-04-19 12:59:12,[],15,2,5,0,1,Jupyter Notebook,2526,0,0,1,58,0,0
cstub/ml-ids,https://github.com/cstub/ml-ids,False,2019-07-12 06:51:03,2019-07-12 06:51:03,2019-12-11 11:24:28,"['intrusion-detection-systems', 'machine-learning']",73,2,38,0,1,Jupyter Notebook,36077,18,12,2,16,0,14
